"cv_texto","talleres","competencias"
"Gestioné líneas telefónicas y chats en retail, resolviendo reclamos con un NPS de 75.","comunicacion efectiva, servicio al cliente","Atención al Cliente"
"Implementé protocolos de bienvenida y seguimiento post venta en cadena de supermercados.","gestión de reclamos","Atención al Cliente"
"Capacité a cajeros en trato empático y uso de CRM para registrar solicitudes.","escucha activa, comunicacion","Atención al Cliente"
"Atendí más de 80 tickets diarios en mesa de ayuda con métricas de satisfacción altas.","comunicacion efectiva, servicio al cliente","Atención al Cliente"
"Coordiné encuestas rápidas y retroalimentación en sala de ventas para mejorar experiencia.","gestión de reclamos","Atención al Cliente"
"Registré asientos contables diarios y concilié bancos para 5 unidades de negocio.","contabilidad, impuestos","Contabilidad"
"Armé libros IVA, integré facturación electrónica y coordiné cierres mensuales.","gestión financiera","Contabilidad"
"Analicé cuentas patrimoniales aplicando NIIF para reportes corporativos.","normas niif","Contabilidad"
"Controlé obligaciones fiscales y generé declaraciones juradas mensuales.","conciliaciones bancarias","Contabilidad"
"Gestioné provisiones y conciliaciones intercompany en ERP SAP.","contabilidad, impuestos","Contabilidad"
"Prospecté cuentas B2B y construí pipeline con tasa de conversión del 30%.","ventas consultivas","Ventas"
"Lideré demostraciones de producto y negociaciones con grandes cuentas.","negociacion, cierre","Ventas"
"Gestioné cartera en CRM, seguimiento semanal y forecast confiable.","crm","Ventas"
"Abrí mercado regional mediante llamadas en frío y visitas programadas.","prospectacion","Ventas"
"Organicé workshops de storytelling para equipos de venta consultiva.","comunicacion comercial","Ventas"
"Coordiné picking y packing en centro de distribución con WMS Manhattan.","logistica, inventario","Logística"
"Optimicé layout de almacén reduciendo tiempos de preparación en 12%.","gestión de almacenes","Logística"
"Planifiqué rutas urbanas usando herramientas de ruteo dinámico.","planificacion de rutas","Logística"
"Gestioné inventarios cíclicos y reconciliaciones de stock físico vs sistema.","supply chain","Logística"
"Implementé indicadores OTIF y tableros logísticos semanales.","control de stock","Logística"
"Diseñé calendarios de contenido multicanal con foco en audiencias jóvenes.","marketing digital, contenido","Marketing"
"Ejecuté campañas SEM y optimicé CTR mediante ajustes en keywords.","seo, analytics","Marketing"
"Analicé métricas en GA4 y propuse experimentos A/B para landing pages.","campañas pagas","Marketing"
"Gestioné alianzas con influencers y seguimiento de métricas de awareness.","branding","Marketing"
"Coordine lanzamientos de marca con materiales POP y PR digital.","marketing digital, contenido","Marketing"
"Redacté contratos de servicios y anexos de confidencialidad para proveedores.","contratos","Legal"
"Monitoreé cumplimiento de políticas internas y normativas sectoriales.","compliance","Legal"
"Administé archivo digital y trazabilidad de expedientes legales.","gestion documental","Legal"
"Apoyé procesos de due diligence revisando cláusulas críticas.","propiedad intelectual","Legal"
"Gestioné renovaciones de marcas y seguimiento de oposiciones.","contratos","Legal"
"Conduje entrevistas por competencias para perfiles operativos y administrativos.","reclutamiento","RRHH"
"Diseñé onboarding híbrido y seguimiento de 30-60-90 días.","seleccion por competencias","RRHH"
"Gestioné nómina y novedades en coordinación con estudio contable.","induccion","RRHH"
"Implementé encuestas de clima y planes de acción con líderes.","gestion del talento","RRHH"
"Administré plataforma LMS para capacitaciones internas.","clima laboral","RRHH"
"Realicé auditorías internas ISO 9001 y seguí planes de acción correctivos.","gestion de calidad","Calidad"
"Diseñé checklists de control en línea de producción farmacéutica.","auditorias","Calidad"
"Analicé indicadores de scrap y propuse mejoras de proceso.","iso 9001","Calidad"
"Documenté procedimientos y capacitaciones para certificaciones.","control estadistico","Calidad"
"Implementé herramientas de control estadístico de procesos en planta.","gestion de calidad","Calidad"
"Programé mantenimientos preventivos y correctivos de flota industrial.","mantenimiento preventivo","Mantenimiento"
"Supervisé contratistas técnicos y cumplimiento de seguridad.","gestión de activos","Mantenimiento"
"Administré CMMS para seguimiento de órdenes de trabajo.","cmms","Mantenimiento"
"Gestioné inventario crítico de repuestos y compras urgentes.","seguridad industrial","Mantenimiento"
"Implementé análisis de falla raíz para equipos críticos.","mantenimiento preventivo","Mantenimiento"
"Construí dashboards en Excel con tablas dinámicas y segmentadores.","excel avanzado","Ofimática"
"Automatizé reportes diarios con macros y conexiones a SQL.","power bi basico","Ofimática"
"Diseñé plantillas para seguimiento de KPIs comerciales.","automatizacion con macros","Ofimática"
"Capacité equipos en funciones de Power Query y modelado básico.","reporteria","Ofimática"
"Integré datos en Power BI para visualizaciones ejecutivas.","excel avanzado","Ofimática"
"Lideré procesos de licitación y comparación técnica-económica.","negociacion, procurement","Compras"
"Negocié contratos marco reduciendo costos en 8%.","gestión de proveedores","Compras"
"Clasifiqué proveedores y monitoreé niveles de servicio.","analisis de costos","Compras"
"Analicé consumos vs presupuesto y generé alertas tempranas.","negociacion, procurement","Compras"
"Implementé catálogo electrónico y órdenes automáticas.","gestión de proveedores","Compras"
"Supervisé líneas de envasado asegurando cumplimiento de OEE.","lean manufacturing","Producción"
"Planifiqué secuencias de producción acorde a demanda semanal.","planificacion de la produccion","Producción"
"Facilité eventos kaizen para reducir tiempos de cambio de formato.","kaizen","Producción"
"Monitoreé indicadores de scrap y desperdicio de materias primas.","control de planta","Producción"
"Coordiné turnos y asignación de personal en planta continua.","lean manufacturing","Producción"
"Elaboré plan de proyecto con cronograma, presupuesto y matriz RACI.","pm tools","Gestion de Proyectos"
"Facilité ceremonias ágiles para escuadras multidisciplinarias.","metodologias agiles","Gestion de Proyectos"
"Controlé riesgos y planes de mitigación en portafolio corporativo.","gestion de riesgos","Gestion de Proyectos"
"Reporté avances semanales a PMO con indicadores de valor ganado.","planificacion","Gestion de Proyectos"
"Implementé tableros Kanban para proyectos de innovación.","seguimiento de proyectos","Gestion de Proyectos"
"Construí modelos de flujo de caja y escenarios de sensibilidad.","finanzas corporativas","Finanzas"
"Analicé estados financieros para soporte en decisiones de inversión.","analisis financiero","Finanzas"
"Preparé reportes de control de gestión con indicadores de rentabilidad.","modelos financieros","Finanzas"
"Coordiné cierres trimestrales y relacionamiento con auditores externos.","control de gestión","Finanzas"
"Desarrollé tableros para seguimiento de presupuesto vs real.","finanzas corporativas","Finanzas"
"Resolví incidencias de software y hardware con tiempos de respuesta inferiores al SLA.","mesa de ayuda","Soporte Técnico"
"Instalé y configuré redes LAN y periféricos para oficinas nuevas.","hardware","Soporte Técnico"
"Documenté soluciones en base de conocimiento y capacitaciones de usuarios.","sistemas operativos","Soporte Técnico"
"Gestioné inventario de activos tecnológicos y licencias.","herramientas it","Soporte Técnico"
"Implementé controles básicos de seguridad y respaldo de información.","seguridad basica","Soporte Técnico"
"Desarrollé modelos descriptivos en Python para detectar desviaciones operativas.","python, analisis de datos","Analisis de Datos"
"Construí consultas SQL avanzadas para auditorías de información.","sql","Analisis de Datos"
"Elaboré visualizaciones interactivas para dirección comercial.","estadistica","Analisis de Datos"
"Aplicqué técnicas de estadística inferencial para experimentos internos.","visualizacion","Analisis de Datos"
"Integré datos de múltiples fuentes y aseguré calidad de información.","python, analisis de datos","Analisis de Datos"
"Dirigí un contact center que vendía seguros y gestionaba reclamos complejos.","servicio al cliente, ventas consultivas, negociacion","Atención al Cliente, Ventas"
"Gestioné compras estratégicas de repuestos críticos coordinando logística y mantenimiento.","procurement, logistica, mantenimiento preventivo","Compras, Logística, Mantenimiento"
"Diseñé tableros financieros y presentaciones ejecutivas para dirección y comité de proyectos.","control de gestión, planificacion, power bi basico","Finanzas, Gestion de Proyectos, Ofimática"
"Implementé mejoras de procesos apoyadas en datos y automatizaciones en planta productiva.","lean manufacturing, analisis de datos, automatizacion","Producción, Analisis de Datos, Calidad"
"Negocié contratos comerciales asegurando cumplimiento legal y objetivos de venta.","negociacion, contratos, compliance","Ventas, Legal"
"Planifiqué presupuestos anuales considerando nómina, capacitaciones y clima laboral.","gestion del talento, control de gestión, clima laboral","RRHH, Finanzas"
"Automatizé reportes de contabilidad y creé dashboards para compras y logística.","excel avanzado, contabilidad, supply chain","Ofimática, Contabilidad, Logística"
"Coordiné campañas digitales para lanzar un ecommerce con soporte operativo post venta.","marketing digital, crm, servicio al cliente","Marketing, Ventas, Atención al Cliente"
"Implementé ITIL básico para mesa de ayuda alineada a proyectos y soporte continuo.","mesa de ayuda, metodologias agiles, herramientas it","Soporte Técnico, Gestion de Proyectos"
"Supervisé logística inversa garantizando calidad del servicio y satisfacción del cliente.","logistica, gestion de calidad, servicio al cliente","Logística, Calidad, Atención al Cliente"
"Analicé data de ventas para definir estrategias de marketing y forecasts financieros.","analisis de datos, marketing digital, finanzas corporativas","Analisis de Datos, Marketing, Finanzas"
"Gestioné proveedores tecnológicos desde la evaluación legal hasta la capacitación de usuarios.","gestion de proveedores, contratos, capacitacion","Compras, Legal, Ofimática"
"Coordiné despliegue de ERP involucrando procesos contables, logísticos y de producción.","erp, planificacion, logistica, contabilidad","Gestion de Proyectos, Contabilidad, Logística, Producción"
"Diseñé políticas de seguridad y continuidad operativa para áreas críticas de soporte y datos.","seguridad basica, estadistica, continuidad del negocio","Soporte Técnico, Analisis de Datos"
"Lideré comité de calidad y finanzas para certificar planta con foco en indicadores de costo.","iso 9001, control de gestión, costos","Calidad, Finanzas"
